First Name,Last Name,Email,Gender,Age,Institution,Already Attended Reception,Joined Facebook Group,Attended The Living Room 1.0,Attended Room With A View 1.0
Edward,Morgan,e.morgan@randatmail.com,Male,19,ALU Rwanda,No,No,Yes,No
Charlotte,Morgan,c.morgan@randatmail.com,Female,20,ALU Rwanda,No,Yes,Yes,Yes
David,Morgan,d.morgan@randatmail.com,Male,28,ALX,Yes,Yes,No,Yes
April,Morris,a.morris@randatmail.com,Female,26,ALU Rwanda,No,Yes,No,Yes
Carina,Morris,c.morris@randatmail.com,Female,25,ALU Rwanda,Yes,No,No,No
Martin,Morris,m.morris@randatmail.com,Male,30,ALU Rwanda,No,No,No,No
Naomi,Morrison,n.morrison@randatmail.com,Female,19,ALU Rwanda,No,No,No,Yes
Fenton,Murray,f.murray@randatmail.com,Male,28,ALU Rwanda,No,No,No,No
Alexia,Nelson,a.nelson@randatmail.com,Female,18,ALU Rwanda,No,No,No,Yes
Blake,Nelson,b.nelson@randatmail.com,Male,20,ALX,No,Yes,Yes,Yes
Aston,Nelson,a.nelson@randatmail.com,Male,24,ALU Rwanda,No,Yes,No,No
Bruce,Nelson,b.nelson@randatmail.com,Male,22,ALX,Yes,Yes,Yes,Yes
Alissa,Parker,a.parker@randatmail.com,Female,21,ALU Alumni,Yes,No,Yes,Yes
Antony,Payne,a.payne@randatmail.com,Male,18,ALU Mauritius,Yes,No,Yes,Yes
Carl,Perkins,c.perkins@randatmail.com,Male,26,ALU Mauritius,Yes,Yes,Yes,Yes
April,Perry,a.perry@randatmail.com,Female,28,ALU Rwanda,Yes,Yes,Yes,Yes
Wilson,Phillips,w.phillips@randatmail.com,Male,23,ALU Rwanda,Yes,Yes,Yes,Yes
Michael,Phillips,m.phillips@randatmail.com,Male,19,ALU Rwanda,No,Yes,Yes,No
Maddie,Reed,m.reed@randatmail.com,Female,25,ALU Rwanda,No,No,Yes,Yes
Audrey,Richards,a.richards@randatmail.com,Female,18,ALU Rwanda,Yes,Yes,Yes,Yes
Amy,Richards,a.richards@randatmail.com,Female,30,ALU Rwanda,No,Yes,Yes,Yes
Miranda,Roberts,m.roberts@randatmail.com,Female,28,ALU Rwanda,Yes,Yes,Yes,Yes
Mary,Ross,m.ross@randatmail.com,Female,30,ALU Rwanda,No,No,No,No
Thomas,Ross,t.ross@randatmail.com,Male,27,ALU Mauritius,Yes,Yes,No,No
Alford,Ross,a.ross@randatmail.com,Male,28,ALU Rwanda,No,Yes,No,Yes
Jenna,Russell,j.russell@randatmail.com,Female,19,ALU Mauritius,No,Yes,No,No
Tess,Ryan,t.ryan@randatmail.com,Female,20,ALX,No,Yes,Yes,No
Maya,Scott,m.scott@randatmail.com,Female,21,ALX,Yes,No,Yes,Yes
Dominik,Spencer,d.spencer@randatmail.com,Male,27,ALU Rwanda,Yes,No,Yes,No
Spike,Stevens,s.stevens@randatmail.com,Male,28,ALU Alumni,Yes,Yes,Yes,No
Vincent,Stevens,v.stevens@randatmail.com,Male,24,ALX,No,Yes,No,Yes
Amanda,Stewart,a.stewart@randatmail.com,Female,29,ALU Mauritius,No,Yes,Yes,No
Kate,Stewart,k.stewart@randatmail.com,Female,30,ALU Rwanda,Yes,Yes,No,Yes
Gianna,Stewart,g.stewart@randatmail.com,Female,21,ALU Rwanda,Yes,Yes,Yes,No
Vanessa,Stewart,v.stewart@randatmail.com,Female,24,ALU Rwanda,No,Yes,No,Yes
Myra,Stewart,m.stewart@randatmail.com,Female,24,ALU Rwanda,No,Yes,No,No
Myra,Sullivan,m.sullivan@randatmail.com,Female,21,ALU Rwanda,Yes,No,No,Yes
Maddie,Taylor,m.taylor@randatmail.com,Female,26,ALU Rwanda,No,Yes,No,Yes
Lenny,Taylor,l.taylor@randatmail.com,Male,22,ALU Rwanda,Yes,No,No,Yes
Ryan,Thomas,r.thomas@randatmail.com,Male,21,ALU Rwanda,Yes,Yes,Yes,No
Kelsey,Walker,k.walker@randatmail.com,Female,28,ALU Rwanda,Yes,No,No,No
Heather,Walker,h.walker@randatmail.com,Female,29,ALU Mauritius,Yes,No,No,Yes
Alen,Warren,a.warren@randatmail.com,Male,25,ALU Rwanda,No,Yes,No,No
Preston,Warren,p.warren@randatmail.com,Male,19,ALU Rwanda,Yes,No,No,Yes
Kelsey,Watson,k.watson@randatmail.com,Female,30,ALX,No,Yes,No,No
Byron,Wells,b.wells@randatmail.com,Male,20,ALU Rwanda,Yes,Yes,Yes,Yes
Blake,Wells,b.wells@randatmail.com,Male,30,ALU Rwanda,No,No,No,Yes
Jasmine,West,j.west@randatmail.com,Female,23,ALU Rwanda,No,No,No,Yes
Madaline,Williams,m.williams@randatmail.com,Female,22,ALU Rwanda,Yes,Yes,Yes,Yes
Tara,Williams,t.williams@randatmail.com,Female,24,ALU Rwanda,No,Yes,Yes,No
